Ingredient,$/ton
Urea,640
Ammonium Nitrate,700
Ammonium Sulfate,790
Diammonium Phosphate (DAP),710
Monoammonium Phosphate (MAP),640
Triple Superphosphate (TSP),750
Potassium Chloride (Muriate of Potash),780
Potassium Sulfate (Sulfate of Potash),770
Calcium Nitrate,600
Magnesium Sulfate (Epsom Salt),500
